0,lat,lon
1.0,28.5663889,77.1030556
2.0,19.0886111,72.8680556
3.0,77.68618049999999,13.0864529
4.0,24.7444444,84.9511111
5.0,68.3663465,25.3181264
6.0,12.9944444,80.1805556
